id,activity_date,day_type,week_number,user_type,total_steps,total_steps_filtered,very_active_minutes,fairly_active_minutes,sedentary_minutes,calories,total_minutes_asleep,sleep_efficiency,type_of_sleeper,sedentary_percentage
1644430081,2016-04-09,Weekend,14,High Efficiency Mover,13840,13840,18,81,1149,3290,,,,79.79
1644430081,2016-04-10,Weekend,14,Sedentary User,1329,1329,0,0,207,489,,,,14.37
1844505072,2016-04-01,Weekday,13,Moderate Mover,6847,6847,9,9,1171,1969,,,,81.32
1844505072,2016-04-02,Weekend,13,Sedentary User,5367,5367,0,0,1177,1889,,,,81.74
1844505072,2016-04-03,Weekend,13,Sedentary User,2841,2841,0,0,1114,1636,,,,77.36
1844505072,2016-04-04,Weekday,14,Sedentary User,0,,0,0,669,1347,,,,46.46
1844505072,2016-04-05,Weekday,14,Sedentary User,0,,0,0,1440,1347,,,,100
1844505072,2016-04-06,Weekday,14,Sedentary User,7,7,0,0,1439,1349,,,,99.93
1844505072,2016-04-07,Weekday,14,Sedentary User,6344,6344,0,0,1150,1965,,,,79.86
1844505072,2016-04-08,Weekday,14,Sedentary User,5316,5316,0,0,1219,1824,,,,84.65
1844505072,2016-04-09,Weekend,14,Sedentary User,4979,4979,0,0,620,1807,,,,43.06
1844505072,2016-04-10,Weekend,14,Sedentary User,6556,6556,0,0,810,1971,,,,56.25
1844505072,2016-04-11,Weekday,15,Sedentary User,5430,5430,0,0,1189,1888,,,,82.57
1844505072,2016-04-12,Weekday,15,Sedentary User,0,,0,0,426,399,,,,29.58
1927972279,2016-04-01,Weekday,13,Moderate Mover,4317,4317,0,11,854,2590,,,,59.31
1927972279,2016-04-02,Weekend,13,Sedentary User,5662,5662,0,0,858,2783,,,,59.58
1927972279,2016-04-03,Weekend,13,Sedentary User,3198,3198,0,0,1183,2449,,,,82.15
1927972279,2016-04-04,Weekday,14,Sedentary User,2352,2352,0,0,829,2380,,,,57.57
1927972279,2016-04-05,Weekday,14,Sedentary User,2234,2234,0,0,912,2344,,,,63.33
1927972279,2016-04-06,Weekday,14,Sedentary User,1259,1259,0,0,938,2202,,,,65.14
1927972279,2016-04-07,Weekday,14,Sedentary User,768,768,0,0,1397,2130,,,,97.01
1927972279,2016-04-08,Weekday,14,Sedentary User,519,519,0,0,1406,2088,,,,97.64
1927972279,2016-04-09,Weekend,14,Moderate Mover,2523,2523,0,9,1250,2443,,,,86.81
1927972279,2016-04-10,Weekend,14,Sedentary User,2105,2105,0,0,805,2442,,,,55.9
1927972279,2016-04-11,Weekday,15,Sedentary User,1209,1209,0,0,842,2255,,,,58.47
1927972279,2016-04-12,Weekday,15,Sedentary User,24,24,0,0,161,942,,,,11.18
2022484408,2016-04-01,Weekday,13,High Efficiency Mover,13603,13603,72,16,1139,2645,,,,79.1
2022484408,2016-04-02,Weekend,13,Sedentary User,5477,5477,0,0,1203,2040,,,,83.54
2022484408,2016-04-03,Weekend,13,Moderate Mover,11144,11144,25,22,1114,2395,,,,77.36
2022484408,2016-04-04,Weekday,14,High Efficiency Mover,15313,15313,62,19,1126,2581,,,,78.19
2022484408,2016-04-05,Weekday,14,High Efficiency Mover,10805,10805,36,37,1069,2735,,,,74.24
2022484408,2016-04-06,Weekday,14,High Efficiency Mover,15392,15392,47,42,1093,2733,,,,75.9
2022484408,2016-04-07,Weekday,14,High Efficiency Mover,18247,18247,72,62,1054,3021,,,,73.19
2022484408,2016-04-08,Weekday,14,Moderate Mover,13023,13023,40,12,1092,2577,,,,75.83
2022484408,2016-04-09,Weekend,14,Moderate Mover,16267,16267,44,16,1078,2811,,,,74.86
2022484408,2016-04-10,Weekend,14,Moderate Mover,10005,10005,1,23,1077,2458,,,,74.79
2022484408,2016-04-11,Weekday,15,High Efficiency Mover,10106,10106,41,16,1111,2568,,,,77.15
2022484408,2016-04-12,Weekday,15,High Efficiency Mover,6717,6717,41,5,551,1140,,,,38.26
2026352035,2016-04-01,Weekday,13,Sedentary User,2605,2605,0,0,729,1407,,,,50.63
