id,activity_date,day,day_type,week_number,movement_quality,user_type,total_steps,total_steps_filtered,very_active_minutes,fairly_active_minutes,lightly_active_minutes,sedentary_minutes,calories,
1927972279,2016-04-11,Monday,Weekday,15,0,Sedentary User,1209,1209,0,0,73,842,2255,
1927972279,2016-04-12,Tuesday,Weekday,15,0,Sedentary User,24,24,0,0,3,161,942,
2022484408,2016-04-01,Friday,Weekday,13,0.006469161,High Efficiency Mover,13603,13603,72,16,213,1139,2645,
2022484408,2016-04-02,Saturday,Weekend,13,0,Sedentary User,5477,5477,0,0,237,1203,2040,
2022484408,2016-04-03,Sunday,Weekend,13,0.004217516,Moderate Mover,11144,11144,25,22,279,1114,2395,
2022484408,2016-04-04,Monday,Weekday,14,0.005289623,High Efficiency Mover,15313,15313,62,19,233,1126,2581,
2022484408,2016-04-05,Tuesday,Weekday,14,0.006756131,High Efficiency Mover,10805,10805,36,37,298,1069,2735,
2022484408,2016-04-06,Wednesday,Weekday,14,0.005782225,High Efficiency Mover,15392,15392,47,42,258,1093,2733,
2022484408,2016-04-07,Thursday,Weekday,14,0.007343673,High Efficiency Mover,18247,18247,72,62,252,1054,3021,
2022484408,2016-04-08,Friday,Weekday,14,0.003992936,Moderate Mover,13023,13023,40,12,296,1092,2577,
2022484408,2016-04-09,Saturday,Weekend,14,0.003688449,Moderate Mover,16267,16267,44,16,302,1078,2811,
2022484408,2016-04-10,Sunday,Weekend,14,0.002398801,Moderate Mover,10005,10005,1,23,339,1077,2458,
2022484408,2016-04-11,Monday,Weekday,15,0.005640214,High Efficiency Mover,10106,10106,41,16,272,1111,2568,
2022484408,2016-04-12,Tuesday,Weekday,15,0.006848295,High Efficiency Mover,6717,6717,41,5,67,551,1140,
2026352035,2016-04-01,Friday,Weekday,13,0,Sedentary User,2605,2605,0,0,166,729,1407,
2026352035,2016-04-02,Saturday,Weekend,13,0,Sedentary User,1229,1229,0,0,69,795,1237,
2026352035,2016-04-03,Sunday,Weekend,13,0,Sedentary User,2308,2308,0,0,115,720,1330,
2026352035,2016-04-04,Monday,Weekday,14,0,Sedentary User,6679,6679,0,0,263,644,1583,
2026352035,2016-04-05,Tuesday,Weekday,14,0,Sedentary User,5645,5645,0,0,248,621,1538,
2026352035,2016-04-06,Wednesday,Weekday,14,0,Sedentary User,3180,3180,0,0,185,738,1421,
2026352035,2016-04-07,Thursday,Weekday,14,0,Sedentary User,2767,2767,0,0,170,673,1392,
2026352035,2016-04-08,Friday,Weekday,14,0,Sedentary User,3762,3762,0,0,173,719,1425,
2026352035,2016-04-09,Saturday,Weekend,14,0,Sedentary User,3098,3098,0,0,185,700,1413,
2026352035,2016-04-10,Sunday,Weekend,14,0,Sedentary User,5142,5142,0,0,230,654,1515,
2026352035,2016-04-11,Monday,Weekday,15,0,Sedentary User,3279,3279,0,0,164,694,1405,
2026352035,2016-04-12,Tuesday,Weekday,15,0,Sedentary User,1019,1019,0,0,64,223,600,
2320127002,2016-04-01,Friday,Weekday,13,0,Sedentary User,0,,0,0,0,1440,1324,
2320127002,2016-04-02,Saturday,Weekend,13,0,Sedentary User,0,,0,0,0,1440,1324,
2320127002,2016-04-03,Sunday,Weekend,13,0,Sedentary User,0,,0,0,0,1440,1324,
2320127002,2016-04-04,Monday,Weekday,14,0,Sedentary User,0,,0,0,0,1440,1324,
2320127002,2016-04-05,Tuesday,Weekday,14,0,Sedentary User,4931,4931,0,0,175,1265,1708,
2320127002,2016-04-06,Wednesday,Weekday,14,0,Sedentary User,6999,6999,0,0,320,1120,1950,
2320127002,2016-04-07,Thursday,Weekday,14,0,Sedentary User,1846,1846,0,0,93,1347,1508,
2320127002,2016-04-08,Friday,Weekday,14,0,Sedentary User,3417,3417,0,0,153,1287,1625,
2320127002,2016-04-09,Saturday,Weekend,14,0.002467613,Moderate Mover,4863,4863,1,11,208,1220,1772,
2320127002,2016-04-10,Sunday,Weekend,14,0,Sedentary User,2277,2277,0,0,103,1337,1530,
2320127002,2016-04-11,Monday,Weekday,15,0.001068566,Moderate Mover,11230,11230,10,2,390,1038,2206,
2320127002,2016-04-12,Tuesday,Weekday,15,0,Sedentary User,2098,2098,0,0,69,617,790,
